N,overshoot_ratio,theoretical_overshoot_ratio,invariant_residual,energy_redistribution
10,0.08990509707008276,0.08948987223608351,0.00041522483399925036,0.8907344831345592
25,0.08955464482418773,0.08948987223608351,6.47725881042227e-05,0.8943496690374131
50,0.08950463447826107,0.08948987223608351,1.4762242177557283e-05,0.895803391528842
100,0.08949325831905697,0.08948987223608351,3.386082973455551e-06,0.8969852687441652
200,0.08949071850982737,0.08948987223608351,8.462737438597046e-07,0.896514647151896
400,0.0894900838348579,0.08948987223608351,2.1159877439114183e-07,0.8956248531893215
800,0.08948992513195175,0.08948987223608351,5.2895868241087385e-08,0.8978529659422438
